                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84693,                 2.5936,                 1.4379,                0.00333,                      1,                 0.6794,                0.38481,                0.95084,                 3.9992,                 1.9117,                 0.0003,                 0.0003,                 0.0003
                      2,                0.83812,                 1.8897,                 1.4265,                      1,                0.24687,                0.85057,                0.49275,                 1.1004,                 4.1396,                 2.2978,             0.00061182,             0.00061182,             0.00061182
                      3,                0.89578,                 1.8106,                 1.4552,                0.87998,                 0.3066,                0.55239,                0.27696,                 1.1982,                 4.1309,                  2.447,             0.00091518,             0.00091518,             0.00091518
                      4,                0.90288,                 1.6247,                  1.467,                0.68208,                0.35838,                0.52039,                0.25813,                 1.4259,                 4.1074,                 2.5974,              0.0012101,              0.0012101,              0.0012101
                      5,                0.93854,                 1.5472,                 1.4549,                0.24545,                0.16667,                0.11674,                 0.0655,                 2.4404,                 4.1039,                 3.6591,              0.0014966,              0.0014966,              0.0014966
                      6,                 1.0177,                 1.5886,                 1.5322,                0.30971,                0.45833,                0.30307,                0.15248,                 1.6408,                 3.4524,                 2.9202,              0.0017746,              0.0017746,              0.0017746
                      7,                 1.0161,                 1.4577,                 1.5066,                0.28688,                0.58333,                0.32874,                0.11195,                 1.6563,                 3.3568,                 3.0262,              0.0018416,              0.0018416,              0.0018416
                      8,                   1.01,                  1.403,                 1.4826,                 0.5164,                0.62296,                0.50862,                0.22292,                 2.0579,                 3.1715,                 3.7594,              0.0018416,              0.0018416,              0.0018416
                      9,                 1.0561,                  1.386,                 1.5492,                0.50494,                0.54167,                0.48274,                0.21154,                 1.7418,                 6.4436,                 3.6542,              0.0018152,              0.0018152,              0.0018152
                     10,                 1.0129,                 1.2849,                 1.5068,                0.57565,                0.67857,                0.67258,                0.37219,                 1.5083,                 2.2384,                 2.7762,              0.0017888,              0.0017888,              0.0017888
                     11,                 0.9149,                 1.1312,                 1.3958,                0.67228,                0.54167,                0.61336,                 0.2808,                 1.5512,                 2.3042,                 2.6613,              0.0017624,              0.0017624,              0.0017624
                     12,                0.98154,                 1.1219,                  1.433,                0.68617,                0.66667,                0.64539,                0.34404,                 1.6573,                 2.0686,                 2.6698,               0.001736,               0.001736,               0.001736
                     13,                0.89637,                 1.0711,                 1.3924,                0.79739,                0.65634,                0.68184,                0.37463,                 1.5336,                 2.1548,                 2.6383,              0.0017096,              0.0017096,              0.0017096
                     14,                 0.8666,                 1.0172,                 1.3615,                0.75524,                0.64335,                0.68776,                0.34218,                 1.7702,                 1.9904,                 2.5467,              0.0016832,              0.0016832,              0.0016832
                     15,                0.84985,                 0.9697,                 1.3468,                0.76238,                0.70833,                0.75957,                0.46035,                 1.3444,                  1.698,                 2.1913,              0.0016568,              0.0016568,              0.0016568
                     16,                0.86472,                0.93962,                 1.3665,                0.78757,                0.61821,                0.64639,                0.39238,                 1.3594,                 1.6009,                 2.2613,              0.0016304,              0.0016304,              0.0016304
                     17,                0.85319,                0.95047,                 1.3452,                0.35947,                  0.625,                0.35722,                0.17587,                 1.9523,                 2.2141,                 2.8646,               0.001604,               0.001604,               0.001604
                     18,                0.87089,                0.92736,                  1.363,                0.61428,                0.66667,                0.62887,                0.31087,                 1.3788,                 1.7961,                 2.1653,              0.0015776,              0.0015776,              0.0015776
                     19,                0.80428,                0.90021,                 1.3187,                0.78894,                0.91667,                0.85667,                0.48243,                 1.3272,                 1.3231,                 2.2059,              0.0015512,              0.0015512,              0.0015512
                     20,                0.76131,                0.79274,                 1.2647,                0.87069,                0.79167,                0.86611,                0.56501,                 1.1162,                 1.1259,                 2.0917,              0.0015248,              0.0015248,              0.0015248
                     21,                0.80188,                0.80838,                 1.3056,                0.71811,                   0.75,                0.76922,                0.44659,                 1.2308,                 1.4789,                 2.0681,              0.0014984,              0.0014984,              0.0014984
                     22,                0.77478,                 0.7865,                 1.2879,                0.81879,                  0.875,                0.85818,                0.52455,                 1.0521,                 1.2778,                 1.8559,               0.001472,               0.001472,               0.001472
                     23,                 0.7544,                0.79179,                 1.2651,                0.88012,                0.79167,                0.91835,                0.58005,                 1.2616,                 1.2332,                 2.0922,              0.0014456,              0.0014456,              0.0014456
                     24,                0.71975,                0.72135,                  1.241,                0.58676,                0.45833,                0.45316,                0.18799,                 2.0505,                 2.5538,                 3.5257,              0.0014192,              0.0014192,              0.0014192
                     25,                0.75645,                0.77174,                 1.2801,                0.51714,                0.66667,                0.58569,                0.31769,                 1.3918,                 1.9938,                 2.2851,              0.0013928,              0.0013928,              0.0013928
                     26,                0.74352,                0.72352,                 1.2769,                0.78266,                0.70833,                0.81523,                0.51574,                 1.2604,                 1.3371,                   2.22,              0.0013664,              0.0013664,              0.0013664
                     27,                0.75543,                0.73512,                  1.271,                0.88044,                0.79167,                0.87591,                0.52773,                 1.2126,                 1.2037,                 2.1198,                0.00134,                0.00134,                0.00134
                     28,                 0.7034,                0.72294,                 1.2423,                0.90806,                0.82343,                0.88483,                0.52546,                  1.208,                  1.154,                 2.0346,              0.0013136,              0.0013136,              0.0013136
                     29,                0.74349,                0.71892,                 1.2708,                0.83896,                0.79167,                0.87758,                0.54211,                 1.1805,                 1.1075,                 2.0362,              0.0012872,              0.0012872,              0.0012872
                     30,                0.61999,                 0.6465,                 1.1836,                0.64725,                0.76486,                0.78871,                0.49141,                 1.4486,                  1.293,                 2.3032,              0.0012608,              0.0012608,              0.0012608
                     31,                0.63476,                 0.6044,                 1.1686,                0.78227,                0.91667,                0.87373,                0.59067,                 1.1399,                 1.0399,                 1.9251,              0.0012344,              0.0012344,              0.0012344
                     32,                0.64094,                0.64629,                  1.207,                 0.7841,                  0.875,                0.89579,                0.53882,                 1.1501,                 1.1809,                 1.9042,               0.001208,               0.001208,               0.001208
                     33,                0.65173,                0.61033,                 1.2109,                0.68297,                0.71838,                0.76286,                 0.4506,                 1.2926,                 1.5149,                  2.054,              0.0011816,              0.0011816,              0.0011816
                     34,                0.59022,                  0.563,                 1.1158,                0.74885,                0.79167,                0.83435,                0.57414,                 1.2178,                  1.193,                 2.0077,              0.0011552,              0.0011552,              0.0011552
                     35,                0.60215,                0.56768,                 1.1428,                 0.7778,                0.72972,                0.82343,                0.56577,                 1.1586,                 1.3163,                 2.1264,              0.0011288,              0.0011288,              0.0011288
                     36,                 0.5894,                0.56425,                 1.1551,                0.88868,                0.66531,                0.80904,                0.55648,                 1.1525,                 1.1529,                 2.0186,              0.0011024,              0.0011024,              0.0011024
                     37,                0.60489,                0.57469,                 1.1549,                0.84503,                0.79167,                0.82326,                0.56776,                 1.0747,                0.95893,                 1.9361,               0.001076,               0.001076,               0.001076
                     38,                0.60848,                0.55813,                 1.1635,                0.72197,                0.79167,                0.65979,                0.25795,                 1.9831,                  1.317,                 3.4215,              0.0010496,              0.0010496,              0.0010496
                     39,                0.61068,                 0.5606,                 1.1842,                0.78094,                0.83333,                0.77695,                0.43138,                 1.6245,                 1.1453,                 2.8089,              0.0010232,              0.0010232,              0.0010232
                     40,                0.59026,                0.53098,                 1.1479,                0.85145,                0.79167,                0.88803,                0.57966,                 1.3226,                0.77351,                 2.3151,              0.0009968,              0.0009968,              0.0009968
                     41,                0.58089,                0.54396,                 1.1578,                0.82786,                   0.75,                0.83816,                 0.5057,                 1.3987,                 1.1798,                 2.3434,              0.0009704,              0.0009704,              0.0009704
                     42,                 0.5515,                0.53887,                 1.1248,                0.73062,                   0.75,                0.82212,                0.46964,                 1.2549,                 1.1911,                 2.2197,               0.000944,               0.000944,               0.000944
