                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94877,                 3.0219,                 1.5372,                0.00337,                0.97727,                0.61185,                 0.3711,                 0.6868,                 3.7821,                 1.4444,                 0.0001,                 0.0001,                 0.0001
                      2,                0.91569,                 2.7017,                 1.4536,                0.00337,                0.97727,                0.69874,                0.47268,                0.68912,                 3.6118,                  1.446,             0.00021129,             0.00021129,             0.00021129
                      3,                0.89796,                 2.0818,                 1.4856,                0.00345,                      1,                0.75368,                0.46269,                0.80681,                 3.7204,                 1.5572,             0.00031307,             0.00031307,             0.00031307
                      4,                0.88668,                 1.9121,                 1.4533,                0.00345,                      1,                0.82836,                0.48922,                 0.9728,                 3.7218,                 1.7995,             0.00040535,             0.00040535,             0.00040535
                      5,                0.88615,                 1.7454,                 1.4152,                0.94118,                0.18184,                0.54286,                0.32457,                 1.2621,                  3.993,                  1.999,             0.00048813,             0.00048813,             0.00048813
                      6,                0.92249,                 1.8936,                 1.4683,                      1,                 0.1581,                0.77556,                0.45848,                 0.9836,                 3.7243,                 1.7994,              0.0005614,              0.0005614,              0.0005614
                      7,                 1.0667,                 2.0099,                  1.578,                0.95448,                0.23827,                0.76764,                0.40444,                 1.2885,                 3.7786,                 2.0294,             0.00062517,             0.00062517,             0.00062517
                      8,                0.96136,                 1.7938,                 1.5113,                0.81499,                0.73864,                0.86042,                0.47324,                 1.3169,                 3.4844,                  2.305,             0.00067943,             0.00067943,             0.00067943
                      9,                0.93663,                 1.6907,                 1.4417,                0.76161,                0.52273,                0.72834,                0.44679,                 1.0737,                 3.3721,                 1.8989,             0.00072419,             0.00072419,             0.00072419
                     10,                0.95912,                 1.6042,                 1.4782,                0.59647,                0.31818,                  0.512,                0.27351,                    1.5,                 3.7003,                 2.1926,             0.00075945,             0.00075945,             0.00075945
                     11,                0.97182,                 1.6018,                 1.4593,                0.75856,                0.52273,                0.71657,                 0.4077,                  1.212,                 3.4307,                 1.9954,              0.0007852,              0.0007852,              0.0007852
                     12,                0.83996,                 1.5483,                 1.4007,                0.69919,                0.64773,                0.74143,                0.37761,                 1.4768,                 3.3279,                 2.2776,             0.00080145,             0.00080145,             0.00080145
                     13,                0.93829,                 1.5332,                 1.4224,                0.73439,                0.72267,                0.79478,                0.41603,                  1.446,                 2.9655,                 2.2289,             0.00080819,             0.00080819,             0.00080819
                     14,                0.93993,                 1.5796,                 1.4722,                0.75821,                 0.7127,                0.81347,                0.44246,                 1.3921,                 2.7066,                 2.2293,             0.00080543,             0.00080543,             0.00080543
                     15,                0.91558,                 1.4277,                 1.4413,                0.81084,                0.63327,                0.74136,                0.39577,                 1.4329,                 2.8092,                 2.3162,             0.00079317,             0.00079317,             0.00079317
                     16,                0.88552,                 2.1577,                 1.4962,                0.61489,                0.61691,                 0.6633,                0.34515,                 1.3476,                 3.0545,                 2.1665,              0.0007714,              0.0007714,              0.0007714
                     17,                0.93764,                 2.1233,                 1.6178,                0.69418,                0.71591,                0.76619,                0.45666,                 1.2041,                 2.8732,                 2.0155,              0.0007328,              0.0007328,              0.0007328
                     18,                0.99052,                 2.1988,                 1.6174,                0.91216,                0.82604,                 0.9052,                0.62359,                 1.0178,                 2.3194,                 1.7599,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.0251,                 1.9979,                 1.6781,                0.83451,                 0.8596,                0.91745,                0.58558,                 1.1336,                  2.297,                 1.9452,              0.0006536,              0.0006536,              0.0006536
                     20,                0.92557,                 1.8595,                 1.6426,                0.90988,                0.91791,                0.94956,                0.68364,                0.94848,                 2.0588,                 1.6823,              0.0005744,              0.0005744,              0.0005744
                     21,                0.90051,                 1.8877,                 1.4684,                0.83537,                0.92262,                0.94442,                0.64592,                0.99321,                 2.0628,                 1.7222,              0.0004952,              0.0004952,              0.0004952
                     22,                0.83699,                 1.7901,                 1.4847,                0.90064,                0.82411,                0.92527,                0.61041,                0.99016,                 2.0565,                 1.7668,               0.000416,               0.000416,               0.000416
                     23,                0.81103,                 1.7244,                  1.463,                0.89502,                0.89773,                0.94996,                0.66001,                  0.924,                 1.9949,                 1.6475,              0.0003368,              0.0003368,              0.0003368
                     24,                0.71427,                 1.6493,                 1.2999,                0.95263,                0.91416,                0.97879,                0.75886,                0.77629,                 1.7611,                 1.4444,              0.0002576,              0.0002576,              0.0002576
                     25,                0.70577,                 1.5917,                 1.3484,                0.97688,                0.96048,                0.98537,                0.78146,                0.74039,                 1.7003,                 1.3972,              0.0001784,              0.0001784,              0.0001784
