                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0456,                 4.2389,                  2.513,                0.00436,                0.90648,                0.32286,                0.10203,                 1.3133,                  4.658,                 2.0838,              0.0002125,              0.0002125,              0.0002125
                      2,                 1.4702,                  3.258,                 1.9694,                0.00645,                  0.975,                0.37836,                0.12065,                 1.5823,                 4.4958,                 2.0699,             0.00043731,             0.00043731,             0.00043731
                      3,                 1.5556,                 3.0874,                 2.0721,                0.36931,                0.65926,                0.43484,                0.15083,                 1.7349,                 4.4068,                 2.3754,             0.00066135,             0.00066135,             0.00066135
                      4,                 1.4352,                 2.8757,                 1.9426,                0.80263,                0.18519,                0.44908,                0.11549,                 1.6544,                 6.9994,                 2.5323,             0.00088404,             0.00088404,             0.00088404
                      5,                 1.5935,                 2.8866,                 2.0761,                0.46609,                0.61169,                0.52145,                0.19363,                 1.7433,                 5.0815,                 2.4627,              0.0011048,              0.0011048,              0.0011048
                      6,                 1.5552,                 2.7353,                 2.0212,                0.33273,                0.38333,                0.31881,                0.09108,                 1.9542,                 6.4168,                 2.8878,              0.0012365,              0.0012365,              0.0012365
                      7,                 1.5575,                  2.731,                 2.0421,                0.46709,                0.37235,                0.36315,                0.09855,                 2.1047,                 7.3674,                  3.011,              0.0012365,              0.0012365,              0.0012365
                      8,                 1.5653,                  2.638,                 2.0444,                0.40202,                0.18056,                0.26991,                0.07204,                 2.0296,                 7.4614,                 2.7206,              0.0012306,              0.0012306,              0.0012306
                      9,                 1.5116,                 2.5439,                 1.9644,                0.30137,                0.33327,                0.31374,                0.12177,                 1.7826,                 4.5489,                  2.279,              0.0012236,              0.0012236,              0.0012236
                     10,                 1.5588,                 2.5601,                 2.0144,                0.74154,                0.18317,                0.59731,                0.26885,                 1.4029,                  3.511,                 2.0349,              0.0012156,              0.0012156,              0.0012156
                     11,                 1.5719,                 2.4713,                 2.0268,                 0.0079,                0.93148,                0.18271,                 0.0682,                 1.8011,                 3.4085,                 2.3631,              0.0012065,              0.0012065,              0.0012065
                     12,                 1.5896,                 2.4708,                 2.0202,                  0.853,                   0.15,                0.47773,                0.23583,                 1.6195,                 3.1582,                 2.2496,              0.0011965,              0.0011965,              0.0011965
                     13,                 1.5466,                 2.3064,                 1.9925,                0.73897,                0.27466,                0.36117,                0.11278,                 1.8066,                 4.0842,                 2.4209,              0.0011855,              0.0011855,              0.0011855
                     14,                 1.4727,                  2.142,                 1.8981,                0.65363,                  0.225,                0.26097,                0.09043,                 1.8605,                  5.159,                 2.2312,              0.0011735,              0.0011735,              0.0011735
                     15,                 1.4848,                 2.1676,                 1.9405,                0.51405,                0.56019,                0.56563,                0.31984,                 1.3769,                 3.2377,                 1.8658,              0.0011605,              0.0011605,              0.0011605
                     16,                 1.5157,                 2.1795,                 1.9407,                0.70285,                0.69553,                0.74233,                0.32478,                 1.6875,                 2.9056,                 2.2072,              0.0011466,              0.0011466,              0.0011466
                     17,                 1.4611,                 2.1103,                 1.8959,                0.85829,                0.70185,                0.86266,                 0.3991,                 1.6626,                 2.5568,                 2.1502,              0.0011318,              0.0011318,              0.0011318
                     18,                 1.4565,                 2.0129,                 1.9015,                0.83216,                0.29702,                0.64329,                0.23586,                 1.8761,                 3.8451,                 2.3427,              0.0011162,              0.0011162,              0.0011162
                     19,                 1.4983,                 1.9258,                 1.9015,                0.89931,                0.53478,                0.88303,                 0.3412,                 1.7934,                  2.893,                 2.1184,              0.0010996,              0.0010996,              0.0010996
                     20,                 1.4591,                 2.0281,                 1.9266,                  0.722,                0.50989,                 0.6764,                0.36824,                 1.3438,                 2.9215,                 1.7365,              0.0010823,              0.0010823,              0.0010823
                     21,                 1.4199,                 1.9791,                 1.8589,                0.71355,                0.46606,                0.50588,                0.24879,                  1.405,                 2.9526,                 1.7989,              0.0010642,              0.0010642,              0.0010642
                     22,                 1.3912,                 1.8452,                 1.8472,                0.90449,                 0.7509,                0.86649,                0.41813,                 1.6371,                 2.9177,                 1.9631,              0.0010453,              0.0010453,              0.0010453
                     23,                 1.3384,                 1.7437,                 1.7851,                0.84293,                0.69843,                0.84228,                0.37696,                 1.7364,                 2.8744,                 2.0692,              0.0010257,              0.0010257,              0.0010257
                     24,                 1.3886,                 1.8228,                 1.8018,                0.90883,                0.74615,                 0.8993,                0.42088,                 1.7006,                 2.6603,                 2.1147,              0.0010053,              0.0010053,              0.0010053
                     25,                 1.4002,                 1.7996,                  1.835,                0.97112,                0.72283,                0.91935,                0.54225,                 1.3821,                 2.5419,                 1.7885,             0.00098438,             0.00098438,             0.00098438
                     26,                 1.4065,                 1.7965,                  1.883,                0.85139,                0.72338,                0.86139,                0.48883,                 1.3455,                 2.5231,                  1.738,             0.00096279,             0.00096279,             0.00096279
                     27,                 1.3498,                 1.7555,                 1.8265,                0.89315,                0.84462,                0.94949,                0.43298,                 1.7794,                 2.2338,                 2.0906,             0.00094062,             0.00094062,             0.00094062
                     28,                 1.3333,                 1.7098,                 1.7848,                0.82495,                0.83498,                0.92292,                0.50003,                 1.4905,                 2.1347,                 1.8476,             0.00091791,             0.00091791,             0.00091791
                     29,                 1.2584,                 1.6438,                 1.7141,                0.95343,                0.87684,                0.94042,                 0.5334,                 1.4374,                 2.2896,                  1.834,              0.0008947,              0.0008947,              0.0008947
                     30,                 1.3403,                 1.6129,                 1.7337,                0.91008,                0.57072,                0.85444,                0.55262,                 1.2056,                 2.5433,                 1.6917,             0.00087103,             0.00087103,             0.00087103
                     31,                 1.3498,                 1.6238,                 1.7783,                0.89197,                0.84046,                0.90368,                0.48772,                 1.4444,                 2.4884,                 1.8787,             0.00084693,             0.00084693,             0.00084693
                     32,                 1.2828,                 1.6352,                 1.7242,                0.81363,                0.87275,                0.94221,                0.62605,                  1.078,                 2.1625,                 1.6048,             0.00082245,             0.00082245,             0.00082245
                     33,                 1.2732,                 1.5896,                 1.7218,                0.89431,                0.83202,                0.93578,                0.57006,                 1.2729,                 2.1561,                 1.7366,             0.00079764,             0.00079764,             0.00079764
                     34,                 1.3349,                 1.5858,                 1.7331,                0.96252,                0.81258,                0.95498,                 0.5089,                  1.569,                  2.223,                 1.9945,             0.00077254,             0.00077254,             0.00077254
                     35,                 1.2915,                 1.5414,                  1.668,                0.93782,                0.87736,                0.98342,                0.61867,                 1.3088,                 2.2124,                 1.7364,             0.00074719,             0.00074719,             0.00074719
