                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88352,                  3.654,                 1.3596,                0.00492,                      1,                0.47926,                0.34352,                0.54186,                 3.9946,                 1.1381,              0.0002125,              0.0002125,              0.0002125
                      2,                0.76881,                 2.7413,                 1.2643,                0.00512,                      1,                0.56704,                0.42389,                0.67717,                 3.9069,                  1.203,             0.00043172,             0.00043172,             0.00043172
                      3,                0.84759,                 2.5787,                  1.342,                0.00495,                      1,                0.57783,                0.41432,                0.72677,                 3.7739,                 1.3158,             0.00064501,             0.00064501,             0.00064501
                      4,                0.83372,                 2.4406,                 1.3229,                0.89457,                0.27725,                0.45642,                0.34335,                0.78113,                 3.9099,                  1.331,             0.00085235,             0.00085235,             0.00085235
                      5,                0.89211,                   2.42,                   1.33,                0.48745,                0.47037,                0.39056,                0.23633,                0.92211,                 5.5049,                 1.4933,              0.0010538,              0.0010538,              0.0010538
                      6,                0.88292,                 2.2229,                 1.3458,                0.66775,                0.50185,                0.69396,                0.45769,                0.79917,                 3.7938,                 1.4606,              0.0011675,              0.0011675,              0.0011675
                      7,                0.89313,                 2.1881,                 1.3454,                0.37848,                0.54167,                0.36671,                0.22407,                  1.073,                 5.2938,                 1.7035,              0.0011675,              0.0011675,              0.0011675
                      8,                0.92578,                 2.0951,                 1.3809,                0.73245,                 0.2315,                0.41209,                0.26751,                 1.0174,                 3.3326,                  1.614,               0.001151,               0.001151,               0.001151
                      9,                 0.8582,                 1.9183,                 1.2655,                0.69202,                0.57645,                0.65516,                0.38425,                 1.1817,                  4.534,                 1.7871,              0.0011345,              0.0011345,              0.0011345
                     10,                0.83436,                 1.9441,                 1.2678,                0.68907,                0.64357,                0.72816,                0.37659,                 1.1457,                  3.133,                 1.7709,               0.001118,               0.001118,               0.001118
                     11,                0.87045,                 1.7935,                 1.2926,                0.82389,                0.70422,                0.83522,                0.57691,                 0.9406,                 2.8367,                 1.6198,              0.0011015,              0.0011015,              0.0011015
                     12,                0.79425,                 1.6912,                 1.2617,                0.79178,                0.54038,                0.85944,                0.66186,                0.80817,                 2.8208,                 1.3821,               0.001085,               0.001085,               0.001085
                     13,                0.84851,                 1.6763,                  1.314,                0.62248,                0.51233,                0.67706,                0.46729,                0.83768,                 3.2296,                 1.3569,              0.0010685,              0.0010685,              0.0010685
                     14,                0.83203,                 1.6927,                 1.2827,                0.77461,                0.54845,                0.69705,                0.52509,                 0.7738,                 3.0598,                 1.3818,               0.001052,               0.001052,               0.001052
                     15,                0.79258,                 1.5469,                 1.2285,                0.77669,                0.60464,                0.74096,                0.57155,                0.68056,                  2.807,                 1.2814,              0.0010355,              0.0010355,              0.0010355
                     16,                0.76874,                 1.5176,                 1.2521,                0.98612,                0.83842,                0.93899,                 0.7312,                0.76926,                 2.4805,                 1.3101,               0.001019,               0.001019,               0.001019
                     17,                0.72936,                 1.3353,                 1.2029,                0.97151,                0.49162,                0.91588,                0.73274,                0.67271,                 3.1808,                 1.2532,              0.0010025,              0.0010025,              0.0010025
                     18,                0.78764,                 1.5154,                 1.2609,                0.95079,                0.53144,                0.97457,                 0.7528,                0.76164,                 2.5375,                 1.2713,               0.000986,               0.000986,               0.000986
                     19,                0.76992,                 1.3203,                 1.2434,                0.85959,                0.81993,                0.96465,                0.76407,                 0.6602,                  2.779,                 1.1546,              0.0009695,              0.0009695,              0.0009695
                     20,                0.71479,                  1.342,                  1.167,                0.91166,                0.76068,                0.91379,                0.74416,                0.58645,                 2.3768,                 1.1265,               0.000953,               0.000953,               0.000953
                     21,                0.71666,                 1.2875,                 1.1811,                0.84497,                0.73739,                0.90423,                0.71443,                0.71592,                  2.522,                 1.2151,              0.0009365,              0.0009365,              0.0009365
                     22,                0.75338,                 1.2553,                 1.2093,                0.90242,                0.81932,                0.94649,                0.77589,                0.63113,                 2.6281,                 1.1809,                0.00092,                0.00092,                0.00092
                     23,                 0.6884,                 1.2662,                 1.1686,                0.88396,                0.94302,                0.97537,                0.80378,                0.64961,                 2.4222,                 1.2189,              0.0009035,              0.0009035,              0.0009035
                     24,                0.68843,                 1.2967,                 1.1753,                0.95738,                0.97493,                0.99018,                0.84181,                0.57572,                 2.2715,                 1.0898,               0.000887,               0.000887,               0.000887
                     25,                 0.6197,                 1.1385,                 1.0968,                0.83813,                0.87833,                0.91249,                 0.7449,                0.56359,                 2.2583,                 1.1056,              0.0008705,              0.0008705,              0.0008705
                     26,                0.64799,                 1.1217,                 1.1277,                0.94572,                0.95991,                0.99397,                0.87383,                0.52583,                 2.2414,                 1.0697,               0.000854,               0.000854,               0.000854
                     27,                0.64978,                 1.0756,                 1.1226,                0.94357,                0.85397,                0.94725,                0.76294,                0.60493,                 2.4101,                 1.1559,              0.0008375,              0.0008375,              0.0008375
                     28,                0.69059,                  1.175,                 1.1638,                0.96429,                0.97859,                 0.9925,                 0.8575,                0.53754,                 2.1002,                 1.0404,               0.000821,               0.000821,               0.000821
                     29,                0.60751,                0.99632,                 1.1033,                0.96531,                0.95041,                0.99203,                0.88453,                0.53361,                 2.1955,                 1.0777,              0.0008045,              0.0008045,              0.0008045
                     30,                0.57224,                 1.0258,                 1.0597,                0.91976,                0.97513,                0.98313,                0.82966,                0.53226,                 2.0506,                 1.1073,               0.000788,               0.000788,               0.000788
                     31,                0.59895,                 1.0368,                 1.1016,                0.87472,                0.92492,                0.97387,                0.85325,                0.49606,                 1.7993,                 1.0226,              0.0007715,              0.0007715,              0.0007715
                     32,                0.58221,                 1.0123,                 1.0732,                0.96507,                 0.9557,                0.98071,                0.87366,                0.49338,                 2.2163,                  1.002,               0.000755,               0.000755,               0.000755
                     33,                0.57337,                0.99714,                 1.0741,                0.95292,                0.92763,                  0.995,                0.89517,                0.44391,                  2.256,                0.98632,              0.0007385,              0.0007385,              0.0007385
                     34,                0.55713,                0.97978,                 1.0719,                0.96652,                      1,                0.99143,                0.89515,                0.43742,                 2.1176,                0.97517,               0.000722,               0.000722,               0.000722
                     35,                0.56906,                0.99492,                 1.0879,                0.98411,                      1,                  0.995,                0.92034,                 0.4153,                 1.8992,                0.96877,              0.0007055,              0.0007055,              0.0007055
                     36,                0.54508,                0.92954,                 1.0783,                0.97614,                0.95298,                0.99381,                0.85665,                0.46282,                 2.0908,                 0.9905,               0.000689,               0.000689,               0.000689
                     37,                0.58133,                0.94742,                 1.0941,                0.97978,                0.93058,                0.99179,                0.88616,                0.45269,                 2.1893,                0.99453,              0.0006725,              0.0006725,              0.0006725
                     38,                0.51212,                 0.9903,                 1.0347,                0.94863,                0.96982,                0.99446,                0.89469,                0.43135,                   2.17,                0.99519,               0.000656,               0.000656,               0.000656
                     39,                0.53077,                0.92971,                 1.0635,                0.98969,                0.99791,                  0.995,                0.93175,                0.39922,                 2.0617,                0.94863,              0.0006395,              0.0006395,              0.0006395
                     40,                0.50908,                0.92501,                 1.0372,                 0.9852,                      1,                  0.995,                 0.8951,                0.41677,                 1.8104,                0.96499,               0.000623,               0.000623,               0.000623
                     41,                0.49232,                0.92695,                 1.0444,                0.98564,                0.97306,                0.99381,                0.89666,                0.40954,                 1.7755,                0.96023,              0.0006065,              0.0006065,              0.0006065
                     42,                 0.4983,                0.85294,                 1.0549,                0.99408,                0.99872,                  0.995,                0.93821,                0.35273,                 2.0876,                0.90137,                0.00059,                0.00059,                0.00059
                     43,                0.47916,                0.85886,                 1.0241,                0.99441,                0.99482,                  0.995,                0.92858,                0.35761,                 2.0654,                0.89312,              0.0005735,              0.0005735,              0.0005735
