                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90793,                 4.3819,                   1.46,                0.25934,                0.50203,                0.22186,                0.14316,                0.84679,                 42.163,                 1.3439,              0.0002125,              0.0002125,              0.0002125
                      2,                0.83472,                 2.2006,                   1.31,                 0.4523,                0.40926,                0.44585,                0.32077,                0.96263,                 17.781,                   1.64,             0.00043172,             0.00043172,             0.00043172
                      3,                 1.0325,                 1.8302,                 1.4678,                0.92501,                  0.275,                0.50574,                0.29795,                 1.4303,                 6.0341,                 2.4686,             0.00064501,             0.00064501,             0.00064501
                      4,                 1.1857,                 1.8856,                 1.6391,                0.36418,                0.28611,                0.23038,                0.09334,                 2.3813,                 15.303,                 3.5974,             0.00085235,             0.00085235,             0.00085235
                      5,                  1.169,                 1.8826,                   1.55,                0.00875,                0.01852,                0.00161,                0.00044,                 4.5164,                  163.3,                 5.9245,              0.0010538,              0.0010538,              0.0010538
                      6,                 1.2792,                 2.0135,                 1.6106,                0.00389,                0.25463,                0.00264,                0.00095,                 3.2161,                    inf,                 5.0013,              0.0011675,              0.0011675,              0.0011675
                      7,                 1.3197,                 1.8331,                 1.6561,                0.01331,                 0.5537,                0.01207,                0.00491,                 2.4817,                 10.346,                 3.8948,              0.0011675,              0.0011675,              0.0011675
                      8,                 1.2704,                   1.81,                  1.636,                 0.0523,                0.12963,                0.04502,                0.01482,                 2.9858,                  9.312,                 5.5753,               0.001151,               0.001151,               0.001151
                      9,                 1.2726,                 1.6947,                 1.5951,                0.23055,                0.38056,                 0.1744,                0.06949,                 2.3779,                 9.0437,                 4.1001,              0.0011345,              0.0011345,              0.0011345
                     10,                 1.2184,                 1.6228,                 1.5613,                0.08513,                0.29167,                0.05642,                 0.0215,                 2.7921,                 6.9224,                 4.2509,               0.001118,               0.001118,               0.001118
                     11,                 1.1027,                 1.6073,                 1.4822,                0.47493,                0.52963,                0.42602,                0.22481,                 1.3196,                  4.475,                 1.9984,              0.0011015,              0.0011015,              0.0011015
                     12,                 1.0822,                 1.5159,                 1.4641,                0.59423,                 0.2136,                0.27155,                0.16571,                  1.714,                 4.8831,                   2.44,               0.001085,               0.001085,               0.001085
