                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86386,                 2.9484,                  1.389,                0.00667,                      1,                  0.995,                  0.796,                0.64006,                 2.7645,                 1.1758,             0.00035007,             0.00035007,             0.00035007
                      2,                0.88383,                 2.2378,                 1.3493,                0.76233,                      1,                  0.995,                0.41458,                 1.0533,                 3.1323,                 1.3222,             0.00070735,             0.00070735,             0.00070735
                      3,                0.89429,                 2.0269,                 1.3479,                0.97006,                      1,                  0.995,                 0.8955,                0.70592,                 1.2742,                 1.4003,              0.0010549,              0.0010549,              0.0010549
                      4,                0.92216,                 1.8165,                 1.3714,                0.83648,                      1,                  0.995,                0.44775,                 1.2116,                 2.7809,                  1.985,              0.0013929,              0.0013929,              0.0013929
                      5,                0.96685,                 1.7664,                 1.3666,                0.83392,                      1,                  0.995,                0.64675,                 1.1266,                  2.403,                 1.9605,               0.001579,               0.001579,               0.001579
                      6,                0.90499,                 1.6692,                 1.3394,                0.00578,                      1,                  0.199,                0.10171,                 1.6232,                 3.5462,                 2.7197,               0.001579,               0.001579,               0.001579
                      7,                0.90234,                 1.5073,                 1.3323,                0.94176,                      1,                  0.995,                 0.6965,                 1.0454,                 2.2117,                   1.62,               0.001557,               0.001557,               0.001557
                      8,                0.87159,                 1.4603,                   1.32,                 0.8173,                      1,                  0.995,                  0.398,                 1.2403,                 1.7438,                  2.334,               0.001535,               0.001535,               0.001535
                      9,                0.97114,                 1.5074,                 1.3734,                 0.6906,                      1,                  0.995,                 0.2985,                 1.0937,                 2.4996,                 1.5935,               0.001513,               0.001513,               0.001513
                     10,                0.87629,                 1.2521,                  1.285,                0.96845,                      1,                  0.995,                 0.8955,                0.72218,                0.99156,                 1.1922,               0.001491,               0.001491,               0.001491
                     11,                0.90141,                 1.2065,                 1.3295,                0.93385,                      1,                  0.995,                  0.796,                 1.0295,                0.98034,                 1.5439,               0.001469,               0.001469,               0.001469
                     12,                0.79367,                 1.1129,                 1.2285,                0.94954,                      1,                  0.995,                  0.796,                0.93343,                0.97986,                 1.3501,               0.001447,               0.001447,               0.001447
                     13,                0.84056,                 1.0545,                 1.2912,                0.97131,                      1,                  0.995,                 0.8955,                0.61725,                0.62181,                 1.1346,               0.001425,               0.001425,               0.001425
                     14,                0.81131,                 1.0427,                 1.2581,                0.97056,                      1,                  0.995,                  0.796,                 1.0564,                0.87676,                 1.4679,              0.0014029,              0.0014029,              0.0014029
                     15,                0.77898,                0.98737,                 1.2261,                0.48089,                      1,                 0.4975,                0.34825,                  1.196,                 2.2746,                 1.8852,              0.0013809,              0.0013809,              0.0013809
                     16,                0.76511,                0.89574,                  1.201,                0.97297,                      1,                  0.995,                 0.8955,                0.74668,                0.65131,                 1.1197,              0.0013589,              0.0013589,              0.0013589
                     17,                0.75175,                0.88854,                 1.2179,                0.97073,                      1,                  0.995,                0.36483,                 2.1566,                 2.8245,                  2.256,              0.0013369,              0.0013369,              0.0013369
                     18,                0.70023,                0.83024,                 1.1606,                0.97179,                      1,                  0.995,                 0.8955,                0.78901,                0.46149,                 1.2097,              0.0013149,              0.0013149,              0.0013149
                     19,                0.70747,                0.84138,                 1.1649,                0.96983,                      1,                  0.995,                  0.796,                0.99607,                0.64967,                 1.4392,              0.0012929,              0.0012929,              0.0012929
                     20,                0.65996,                0.79171,                 1.1501,                0.97192,                      1,                  0.995,                 0.8955,                0.75377,                0.48661,                 1.1427,              0.0012709,              0.0012709,              0.0012709
                     21,                0.67446,                 0.7936,                 1.1365,                0.97402,                      1,                  0.995,                 0.8955,                0.65612,                 0.5515,                 1.1131,              0.0012489,              0.0012489,              0.0012489
                     22,                0.68871,                0.75841,                 1.1471,                 0.9709,                      1,                  0.995,                  0.796,                  0.732,                0.53125,                 1.1172,              0.0012269,              0.0012269,              0.0012269
                     23,                0.63249,                0.68564,                 1.1158,                0.85648,                      1,                  0.995,                 0.8955,                 0.7589,                 1.0469,                  1.166,              0.0012049,              0.0012049,              0.0012049
                     24,                0.60688,                0.66324,                 1.1014,                0.97041,                      1,                  0.995,                 0.6965,                0.80376,                0.67436,                 1.1809,              0.0011829,              0.0011829,              0.0011829
                     25,                0.63536,                0.68364,                 1.1246,                0.84604,                      1,                  0.995,                  0.796,                 1.2901,                 1.1912,                 1.9396,              0.0011609,              0.0011609,              0.0011609
                     26,                0.62482,                0.64405,                 1.1197,                 0.9721,                      1,                  0.995,                 0.6965,                 1.3193,                0.83972,                 1.9516,              0.0011389,              0.0011389,              0.0011389
                     27,                0.58883,                0.61105,                 1.0972,                0.95762,                      1,                  0.995,                 0.6965,                0.94662,                0.91986,                 1.2723,              0.0011169,              0.0011169,              0.0011169
                     28,                0.59951,                0.61929,                 1.0979,                0.97315,                      1,                  0.995,                  0.796,                0.68916,                 0.4907,                  1.126,              0.0010949,              0.0010949,              0.0010949
                     29,                0.57927,                0.57382,                 1.0757,                0.96801,                      1,                  0.995,                 0.6965,                 1.0153,                0.61042,                 1.2785,              0.0010729,              0.0010729,              0.0010729
                     30,                0.61311,                0.65176,                 1.1204,                0.96181,                      1,                  0.995,                  0.796,                 1.0037,                0.54501,                 1.3657,              0.0010509,              0.0010509,              0.0010509
                     31,                0.59168,                0.61111,                 1.1139,                0.97117,                      1,                  0.995,                 0.8955,                0.52596,                 0.3935,                 1.0048,              0.0010289,              0.0010289,              0.0010289
                     32,                0.62452,                0.65655,                 1.1313,                0.97229,                      1,                  0.995,                 0.8955,                0.60471,                0.42346,                0.99399,              0.0010069,              0.0010069,              0.0010069
                     33,                0.54961,                  0.574,                 1.0823,                0.97345,                      1,                  0.995,                  0.995,                0.58988,                0.48862,                0.99011,             0.00098486,             0.00098486,             0.00098486
                     34,                0.55217,                0.55397,                 1.0642,                0.92885,                      1,                  0.995,                 0.8955,                 0.4493,                0.49991,                0.88932,             0.00096286,             0.00096286,             0.00096286
                     35,                0.53124,                0.53017,                 1.0545,                 0.9742,                      1,                  0.995,                  0.995,                0.38978,                 0.2329,                0.88131,             0.00094085,             0.00094085,             0.00094085
                     36,                0.55158,                0.55745,                 1.0707,                0.97105,                      1,                  0.995,                 0.6965,                0.88008,                0.56322,                 1.2087,             0.00091885,             0.00091885,             0.00091885
                     37,                0.49708,                0.52249,                 1.0351,                0.97179,                      1,                  0.995,                 0.8955,                0.66644,                0.40028,                0.99222,             0.00089685,             0.00089685,             0.00089685
                     38,                0.52589,                0.53037,                 1.0487,                0.97345,                      1,                  0.995,                 0.6965,                0.96672,                0.64882,                 1.4242,             0.00087484,             0.00087484,             0.00087484
                     39,                0.49175,                0.53117,                 1.0417,                0.97343,                      1,                  0.995,                  0.995,                0.56311,                0.51761,                 1.0714,             0.00085284,             0.00085284,             0.00085284
                     40,                0.50928,                0.49626,                 1.0362,                0.97378,                      1,                  0.995,                 0.8955,                0.79867,                0.41553,                 1.1784,             0.00083083,             0.00083083,             0.00083083
                     41,                0.47877,                0.46944,                 1.0158,                0.97227,                      1,                  0.995,                 0.8955,                 0.4774,                0.36988,                 1.0712,             0.00080883,             0.00080883,             0.00080883
                     42,                0.50435,                0.50204,                 1.0386,                 0.9727,                      1,                  0.995,                 0.8955,                0.52321,                0.29293,                 1.0138,             0.00078682,             0.00078682,             0.00078682
                     43,                0.48662,                0.46472,                 1.0281,                0.97362,                      1,                  0.995,                  0.995,                0.36086,                0.27885,                0.80944,             0.00076482,             0.00076482,             0.00076482
                     44,                0.45806,                 0.4425,                 1.0037,                0.97357,                      1,                  0.995,                 0.8955,                0.52255,                0.39313,                0.92358,             0.00074282,             0.00074282,             0.00074282
                     45,                0.44683,                0.44396,                 1.0077,                 0.9712,                      1,                  0.995,                  0.796,                  0.983,                0.62897,                 1.4021,             0.00072081,             0.00072081,             0.00072081
                     46,                0.45461,                0.46913,                 1.0075,                0.97309,                      1,                  0.995,                 0.8955,                0.69499,                0.41304,                 1.0166,             0.00069881,             0.00069881,             0.00069881
                     47,                0.46495,                0.47357,                 1.0139,                0.97283,                      1,                  0.995,                 0.8955,                0.51826,                0.28951,                0.97801,              0.0006768,              0.0006768,              0.0006768
                     48,                0.42516,                0.42589,                0.98315,                0.97272,                      1,                  0.995,                 0.8955,                0.73569,                0.37387,                 1.1226,              0.0006548,              0.0006548,              0.0006548
                     49,                0.42706,                0.42265,                0.98326,                0.97315,                      1,                  0.995,                 0.8955,                 0.6225,                0.32356,                 1.1346,             0.00063279,             0.00063279,             0.00063279
