                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84936,                 3.6543,                  1.373,                0.00719,                      1,                  0.995,                 0.8955,                0.45844,                 3.7894,                 1.1237,              0.0002375,              0.0002375,              0.0002375
                      2,                0.82091,                 2.8804,                 1.3177,                0.00685,                      1,                  0.995,                 0.8955,                0.54646,                 3.6423,                 1.2913,             0.00048106,             0.00048106,             0.00048106
                      3,                0.89504,                 2.7157,                 1.3478,                0.00699,                      1,                  0.995,                 0.8955,                0.49654,                 3.4564,                 1.2533,             0.00071803,             0.00071803,             0.00071803
                      4,                0.81874,                 2.4719,                 1.2959,                0.00667,                      1,                0.12437,                0.11194,                0.52857,                 4.0458,                 1.2523,             0.00094839,             0.00094839,             0.00094839
                      5,                0.91157,                 2.3316,                 1.3487,                0.09343,                      1,                0.11056,                 0.0518,                 1.3059,                 24.349,                 1.6825,              0.0011722,              0.0011722,              0.0011722
                      6,                0.90337,                 2.3164,                 1.3421,                0.01695,                      1,                0.09045,                0.05487,                0.64598,                 5.3987,                 1.2834,              0.0011675,              0.0011675,              0.0011675
                      7,                0.91607,                 2.2591,                 1.3566,                0.84809,                      1,                  0.995,                0.43117,                 1.4959,                 3.8782,                 2.3846,              0.0011675,              0.0011675,              0.0011675
                      8,                0.83649,                 2.0653,                 1.2714,                0.57178,                      1,                  0.995,                 0.8955,                0.55537,                  2.475,                 1.1413,               0.001151,               0.001151,               0.001151
                      9,                 0.8713,                 2.0141,                 1.3314,                0.90554,                      1,                  0.995,                 0.8955,                0.45498,                 2.2809,                 1.1144,              0.0011345,              0.0011345,              0.0011345
                     10,                0.82509,                 1.9333,                 1.2771,                0.72885,                      1,                  0.995,                 0.8955,                0.54019,                 2.2677,                 1.1967,               0.001118,               0.001118,               0.001118
                     11,                0.84084,                 1.8684,                 1.2874,                0.64304,                      1,                  0.995,                0.64675,                 0.4397,                 2.5058,                 1.1409,              0.0011015,              0.0011015,              0.0011015
                     12,                 0.8667,                 1.7394,                 1.2761,                 0.1775,                      1,                  0.995,                  0.995,                0.46591,                 3.1316,                 1.1337,               0.001085,               0.001085,               0.001085
                     13,                0.81178,                 1.6402,                 1.2618,                0.88153,                      1,                  0.995,                 0.8955,                0.48849,                 1.7714,                 1.1668,              0.0010685,              0.0010685,              0.0010685
                     14,                0.79734,                 1.6511,                 1.2499,                0.86838,                      1,                  0.995,                 0.6965,                  0.913,                 1.8661,                 1.3907,               0.001052,               0.001052,               0.001052
                     15,                0.77306,                 1.5475,                 1.2177,                0.90747,                      1,                  0.995,                 0.8955,                0.62927,                 1.6575,                  1.171,              0.0010355,              0.0010355,              0.0010355
                     16,                0.73659,                 1.5097,                 1.1926,                0.93302,                      1,                  0.995,                  0.995,                0.33726,                 1.9144,                 1.0336,               0.001019,               0.001019,               0.001019
                     17,                0.69848,                 1.4603,                 1.1723,                0.89322,                      1,                  0.995,                  0.995,                0.25116,                 1.6896,                  1.004,              0.0010025,              0.0010025,              0.0010025
                     18,                0.66864,                 1.4058,                 1.1465,                0.92146,                      1,                  0.995,                  0.995,                0.25307,                 2.1914,                  1.005,               0.000986,               0.000986,               0.000986
                     19,                0.70044,                 1.4202,                 1.1861,                0.93663,                      1,                  0.995,                  0.995,                0.44021,                 1.8886,                 1.1586,              0.0009695,              0.0009695,              0.0009695
                     20,                0.65038,                 1.2881,                 1.1475,                0.88491,                      1,                  0.995,                  0.995,                0.25815,                 1.7132,                 1.0216,               0.000953,               0.000953,               0.000953
                     21,                0.67657,                 1.2768,                  1.163,                0.87176,                      1,                  0.995,                  0.995,                0.31785,                 1.9257,                 1.0434,              0.0009365,              0.0009365,              0.0009365
                     22,                0.68998,                 1.2722,                 1.1424,                0.92103,                      1,                  0.995,                 0.8955,                0.36302,                 1.6353,                 1.0665,                0.00092,                0.00092,                0.00092
                     23,                0.66892,                 1.2457,                 1.1663,                0.88884,                      1,                  0.995,                  0.995,                0.24039,                 1.5765,                 1.0101,              0.0009035,              0.0009035,              0.0009035
                     24,                0.63453,                 1.2044,                  1.137,                 0.9326,                      1,                  0.995,                  0.995,                0.20025,                 1.5718,                 1.0043,               0.000887,               0.000887,               0.000887
                     25,                0.60985,                 1.1874,                 1.1064,                0.93049,                      1,                  0.995,                  0.995,                0.26442,                 1.3939,                  1.001,              0.0008705,              0.0008705,              0.0008705
                     26,                 0.6222,                 1.1982,                  1.129,                      1,                      1,                  0.995,                  0.995,                0.28731,                 1.5318,                 1.0179,               0.000854,               0.000854,               0.000854
                     27,                0.57712,                 1.1526,                 1.1058,                0.92405,                      1,                  0.995,                  0.995,                0.24855,                 1.4694,                 1.0148,              0.0008375,              0.0008375,              0.0008375
                     28,                0.60586,                 1.1319,                 1.1048,                0.87843,                      1,                  0.995,                 0.8955,                0.29896,                 1.7929,                 1.0427,               0.000821,               0.000821,               0.000821
