                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1771,                 3.7076,                  1.586,                0.00901,                      1,                 0.4975,                0.44775,                0.53799,                 3.6483,                 1.3718,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                0.73733,                 3.2641,                 1.2782,                0.01408,                      1,                  0.995,                  0.796,                0.76387,                 3.6728,                 1.6601,             0.00018095,             0.00018095,             0.00018095
                      3,                0.74034,                 2.5809,                 1.2776,                0.01562,                      1,                  0.995,                0.53067,                0.91151,                 3.6816,                 1.7055,             0.00027591,             0.00027591,             0.00027591
                      4,                0.73834,                 2.4757,                 1.2793,                0.02632,                      1,                  0.995,                0.42288,                 1.0255,                 4.0067,                 1.8982,             0.00036823,             0.00036823,             0.00036823
                      5,                0.82171,                 2.4276,                 1.3778,                0.01099,                      1,                  0.995,                  0.796,                0.74825,                 3.2351,                 1.6773,              0.0004579,              0.0004579,              0.0004579
                      6,                0.78155,                 2.1691,                 1.2809,                 0.0102,                      1,                  0.995,                 0.8955,                0.56559,                 3.1921,                 1.3262,             0.00054494,             0.00054494,             0.00054494
                      7,                0.82499,                 2.1917,                  1.354,                0.73047,                      1,                  0.995,                 0.8955,                 0.6624,                 2.6794,                 1.5291,             0.00062934,             0.00062934,             0.00062934
                      8,                0.90041,                 2.1967,                 1.4245,                0.63842,                      1,                  0.995,                  0.796,                 1.0343,                 2.6815,                 2.0496,              0.0007111,              0.0007111,              0.0007111
                      9,                0.99738,                 2.1903,                 1.3851,                0.00694,                      1,                  0.995,                  0.597,                 1.3394,                 3.2314,                 2.0939,             0.00079021,             0.00079021,             0.00079021
                     10,                0.98509,                  2.169,                 1.4273,                 0.0068,                      1,                  0.995,                0.36483,                 1.1708,                  3.365,                 1.9075,             0.00086669,             0.00086669,             0.00086669
                     11,                0.96828,                 2.2601,                 1.4032,                0.84056,                      1,                  0.995,                  0.398,                 1.2721,                  3.307,                 2.0718,             0.00094052,             0.00094052,             0.00094052
                     12,                 0.9749,                  2.169,                 1.4747,                 0.8162,                      1,                  0.995,                  0.796,                0.85442,                 3.0564,                 1.6851,              0.0010117,              0.0010117,              0.0010117
                     13,                 1.0099,                 2.0692,                 1.4241,                0.65479,                      1,                  0.995,                  0.796,                0.94804,                 2.5272,                 1.7869,              0.0010803,              0.0010803,              0.0010803
                     14,                0.98892,                  2.003,                 1.4373,                 0.7111,                      1,                  0.995,                  0.796,                 1.2502,                 2.1861,                 2.0783,              0.0011462,              0.0011462,              0.0011462
                     15,                0.99098,                 1.9768,                 1.4331,                 0.9422,                      1,                  0.995,                  0.796,                0.88303,                 1.6852,                 1.6425,              0.0012095,              0.0012095,              0.0012095
                     16,                 1.1092,                 2.1453,                  1.494,                0.47484,                0.94969,                 0.4975,                0.34825,                0.85258,                  3.102,                 1.5742,              0.0012701,              0.0012701,              0.0012701
                     17,                 1.0658,                 1.9795,                  1.475,                0.07352,                      1,                0.16583,                0.10424,                 1.1802,                 4.6967,                 2.0348,              0.0013149,              0.0013149,              0.0013149
                     18,                0.97509,                 1.9863,                 1.3978,                0.81892,                      1,                  0.995,                 0.8955,                0.74496,                 9.4162,                 1.5486,              0.0013149,              0.0013149,              0.0013149
                     19,                 1.0345,                 1.8175,                 1.4516,                0.61666,                      1,                  0.995,                 0.8955,                0.78281,                 5.1756,                 1.5406,              0.0012929,              0.0012929,              0.0012929
                     20,                0.83882,                 1.6292,                 1.2429,                0.92334,                      1,                  0.995,                 0.6965,                  1.047,                 2.7766,                  2.278,              0.0012709,              0.0012709,              0.0012709
                     21,                 1.0109,                 1.9103,                 1.4338,                0.94347,                      1,                  0.995,                 0.6965,                 1.2674,                 2.4238,                 2.8113,              0.0012489,              0.0012489,              0.0012489
                     22,                  1.057,                  1.833,                 1.4262,                0.14341,                      1,                0.16583,                0.11608,                 1.1783,                  4.656,                 2.1405,              0.0012269,              0.0012269,              0.0012269
                     23,                0.94619,                 1.7004,                 1.4452,                 0.4627,                      1,                  0.995,                 0.8955,                 0.6351,                 3.7043,                 1.4357,              0.0012049,              0.0012049,              0.0012049
                     24,                 1.0195,                 1.5913,                 1.3807,                0.48829,                      1,                  0.995,                  0.597,                 1.3522,                 4.1633,                 1.7505,              0.0011829,              0.0011829,              0.0011829
                     25,                0.97262,                  1.623,                  1.381,                0.46828,                      1,                 0.4975,                0.31508,                 1.2569,                 5.7471,                  1.968,              0.0011609,              0.0011609,              0.0011609
                     26,                0.85201,                 1.4982,                 1.3034,                0.47475,                      1,                  0.995,                 0.4975,                 1.0157,                 2.5406,                 2.0173,              0.0011389,              0.0011389,              0.0011389
                     27,                0.99007,                 1.6438,                 1.3329,                0.88631,                      1,                  0.995,                0.46433,                 1.2603,                 2.9042,                 2.2529,              0.0011169,              0.0011169,              0.0011169
                     28,                0.75893,                 1.3853,                 1.1947,                0.89334,                      1,                  0.995,                0.36957,                 1.3606,                  3.205,                  2.622,              0.0010949,              0.0010949,              0.0010949
