                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93495,                 2.8431,                 1.4383,                0.00345,                      1,                0.77126,                0.53252,                0.70744,                 3.9518,                 1.5271,                0.00022,                0.00022,                0.00022
                      2,                 0.8755,                 2.1012,                 1.4364,                      1,                0.06586,                0.81058,                0.51881,                 0.8158,                 3.8317,                 1.4761,             0.00045089,             0.00045089,             0.00045089
                      3,                0.74846,                 1.8225,                 1.2652,                0.90325,                0.51019,                0.78969,                0.51087,                 0.8735,                 3.8486,                 1.5439,             0.00067228,             0.00067228,             0.00067228
                      4,                 0.7999,                 1.5882,                 1.2581,                  0.804,                0.06732,                0.43632,                0.22901,                 1.8972,                 5.3751,                 2.1908,             0.00088416,             0.00088416,             0.00088416
                      5,                0.78873,                 1.7005,                 1.2429,                0.80484,                0.47325,                0.65877,                0.29247,                 1.4527,                  3.862,                 2.2211,              0.0010865,              0.0010865,              0.0010865
                      6,                0.84617,                 1.5957,                 1.3081,                0.32725,                0.33494,                0.29791,                0.11277,                 1.8051,                 3.7945,                  2.714,              0.0012794,              0.0012794,              0.0012794
                      7,                0.89257,                 1.4589,                 1.3414,                  0.566,                0.65574,                0.68485,                 0.4365,                 1.1292,                 2.6037,                 1.8651,              0.0014628,              0.0014628,              0.0014628
                      8,                0.99832,                 1.5732,                 1.4336,                  0.601,                 0.6585,                0.60564,                 0.2696,                 1.7457,                 2.7665,                 2.4528,              0.0016367,              0.0016367,              0.0016367
                      9,                0.82217,                 1.3589,                 1.2859,                0.61765,                 0.4918,                0.49086,                0.19287,                 1.7143,                 3.0955,                 2.7563,              0.0016832,              0.0016832,              0.0016832
                     10,                0.87026,                 1.4495,                 1.3171,                0.53511,                0.38251,                0.41186,                0.18014,                 1.7804,                  3.534,                 2.9352,              0.0016832,              0.0016832,              0.0016832
