                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85229,                 3.4254,                 1.3655,                0.00564,                0.96914,                0.53941,                0.40577,                0.52948,                 3.6852,                 1.2332,              0.0001667,              0.0001667,              0.0001667
                      2,                0.74827,                 2.5365,                 1.2881,                0.01073,                0.99495,                0.45708,                0.32975,                0.75663,                  3.556,                 1.4567,             0.00033621,             0.00033621,             0.00033621
                      3,                 0.7982,                 2.3721,                 1.3167,                0.52433,                0.26851,                0.49511,                0.36241,                0.80683,                 3.2618,                 1.4949,             0.00049119,             0.00049119,             0.00049119
                      4,                0.81883,                 2.0302,                 1.3166,                0.73788,                0.26922,                 0.3855,                 0.2353,                 1.1915,                 3.7087,                 2.0148,             0.00063165,             0.00063165,             0.00063165
                      5,                0.78476,                 1.8408,                 1.2757,                0.48365,                 0.4903,                0.47766,                0.29907,                0.98477,                 3.2962,                 1.6117,             0.00075759,             0.00075759,             0.00075759
                      6,                0.78057,                 1.8454,                 1.2334,                0.59525,                0.76543,                0.77655,                0.53402,                0.92534,                  2.895,                 1.5377,             0.00086901,             0.00086901,             0.00086901
                      7,                 0.7871,                  1.794,                 1.2637,                0.83284,                0.82043,                0.90537,                0.74102,                0.66437,                 2.2104,                 1.3275,              0.0009659,              0.0009659,              0.0009659
                      8,                0.81297,                 1.7464,                  1.303,                0.63367,                0.74535,                0.76092,                0.48445,                 1.0717,                 2.6475,                 1.7386,              0.0010483,              0.0010483,              0.0010483
                      9,                0.78535,                  1.684,                  1.258,                0.73054,                0.80876,                0.82892,                0.54323,                0.95841,                 2.4894,                 1.6612,              0.0011161,              0.0011161,              0.0011161
                     10,                0.79212,                 1.5715,                 1.2564,                0.67494,                0.58193,                0.60638,                 0.3603,                 1.4186,                 2.9452,                 2.1036,              0.0010729,              0.0010729,              0.0010729
                     11,                0.73337,                 1.4863,                 1.1912,                0.77063,                0.68801,                0.75055,                0.49812,                 1.1836,                 2.7504,                 2.0701,              0.0010729,              0.0010729,              0.0010729
                     12,                0.73936,                 1.4942,                 1.2306,                0.85975,                0.92823,                0.96093,                0.69676,                0.85261,                  1.961,                 1.4747,              0.0010069,              0.0010069,              0.0010069
                     13,                 0.7074,                 1.3628,                 1.1896,                0.86726,                0.90348,                0.95973,                0.78152,                0.65402,                 1.7805,                 1.2346,             0.00094085,             0.00094085,             0.00094085
                     14,                0.69471,                 1.3038,                 1.1906,                0.92975,                0.87937,                0.95207,                0.78749,                0.60348,                 1.5866,                 1.2046,             0.00087484,             0.00087484,             0.00087484
                     15,                0.70612,                 1.2801,                 1.1785,                0.80372,                0.76651,                 0.7838,                0.66522,                0.57684,                 2.1001,                 1.1994,             0.00080883,             0.00080883,             0.00080883
                     16,                0.58316,                 1.6319,                 1.1558,                0.89809,                0.90489,                0.96169,                0.71886,                0.78359,                  2.127,                 1.3776,             0.00074282,             0.00074282,             0.00074282
                     17,                0.59187,                 1.5425,                  1.139,                 0.9693,                0.98271,                0.99291,                0.82151,                0.68294,                 1.4339,                 1.3299,              0.0006768,              0.0006768,              0.0006768
                     18,                0.54575,                 1.3877,                 1.0952,                0.92975,                0.97307,                0.98386,                   0.87,                0.51443,                 1.3928,                 1.1279,             0.00061079,             0.00061079,             0.00061079
                     19,                0.49127,                 1.2984,                 1.0484,                0.96634,                0.99383,                0.99329,                0.89179,                0.49146,                 1.2025,                 1.0934,             0.00054478,             0.00054478,             0.00054478
                     20,                0.49597,                 1.2578,                 1.0681,                0.98838,                      1,                  0.995,                0.88677,                0.47544,                 1.2299,                 1.0642,             0.00047876,             0.00047876,             0.00047876
                     21,                0.48604,                 1.2155,                 1.0507,                0.99586,                0.97702,                  0.995,                0.89387,                0.48235,                 1.2218,                 1.0709,             0.00041275,             0.00041275,             0.00041275
                     22,                0.42823,                 1.1249,                0.99434,                0.99297,                0.99899,                  0.995,                0.92591,                0.38128,                 1.0684,                 1.0013,             0.00034674,             0.00034674,             0.00034674
                     23,                0.41522,                 1.0726,                0.98101,                0.99782,                      1,                  0.995,                  0.925,                 0.3889,                 1.0079,                 1.0049,             0.00028072,             0.00028072,             0.00028072
                     24,                0.38161,                 1.0246,                0.96877,                0.99869,                      1,                  0.995,                0.94635,                0.32812,                0.96256,                0.97223,             0.00021471,             0.00021471,             0.00021471
                     25,                0.37332,                0.99231,                0.94351,                0.99929,                      1,                  0.995,                0.94495,                0.32647,                0.96037,                0.97065,              0.0001487,              0.0001487,              0.0001487
