                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93839,                  3.387,                 1.4172,                0.01163,                      1,                  0.995,                  0.995,                 0.4169,                 3.5389,                 1.1933,             0.00018337,             0.00018337,             0.00018337
                      2,                0.76637,                  2.538,                 1.3128,                 0.0098,                      1,                  0.995,                  0.597,                0.70915,                 3.3888,                 1.5036,             0.00037708,             0.00037708,             0.00037708
                      3,                 0.7938,                 2.2889,                 1.2893,                0.01316,                      1,                  0.995,                 0.8955,                0.76339,                 3.4909,                 1.4881,              0.0005642,              0.0005642,              0.0005642
                      4,                0.76346,                 2.0942,                 1.2483,                0.01205,                      1,                  0.995,                  0.597,                0.90718,                 3.4796,                 1.5813,             0.00074471,             0.00074471,             0.00074471
                      5,                0.81299,                 1.9208,                 1.2873,                 0.8418,                      1,                  0.995,                  0.597,                 1.6659,                 2.3926,                 2.6932,             0.00091862,             0.00091862,             0.00091862
                      6,                0.86981,                 1.9016,                 1.3443,                0.17395,                      1,                0.24875,                0.10779,                 2.0765,                 4.6585,                 3.2104,              0.0010859,              0.0010859,              0.0010859
                      7,                0.77364,                 1.7174,                 1.2413,                0.13118,                      1,                0.14214,                0.04501,                 2.7252,                 4.9624,                 3.6328,              0.0012466,              0.0012466,              0.0012466
                      8,                0.82544,                  1.667,                 1.2841,                0.22394,                      1,                0.24875,                0.10582,                 2.3906,                 8.5151,                 4.0771,              0.0014007,              0.0014007,              0.0014007
                      9,                0.90964,                 1.7543,                 1.3575,                0.93743,                      1,                  0.995,                 0.4776,                 1.6224,                 3.7477,                 3.3407,               0.001447,               0.001447,               0.001447
                     10,                0.83084,                 1.5413,                  1.258,                0.83953,                      1,                  0.995,                  0.597,                 1.2065,                 3.0871,                 2.3028,               0.001447,               0.001447,               0.001447
                     11,                0.82404,                 1.4528,                 1.2849,                0.36155,                      1,                  0.995,                0.33581,                 1.5903,                 3.5812,                 3.4327,              0.0014195,              0.0014195,              0.0014195
                     12,                0.79877,                  1.449,                 1.2574,                0.93854,                      1,                  0.995,                0.43117,                 1.8051,                 2.4669,                 2.7673,              0.0013919,              0.0013919,              0.0013919
                     13,                0.83752,                 1.3815,                 1.3122,                0.96121,                      1,                  0.995,                  0.597,                0.97406,                  1.382,                 1.7035,              0.0013644,              0.0013644,              0.0013644
                     14,                0.78851,                 1.3183,                 1.2174,                0.96595,                      1,                  0.995,                 0.6965,                 1.2088,                 1.4586,                 2.2029,              0.0013369,              0.0013369,              0.0013369
                     15,                0.81245,                 1.3076,                 1.2504,                0.96667,                      1,                  0.995,                 0.6965,                 1.4229,                 1.6786,                 2.0654,              0.0013094,              0.0013094,              0.0013094
                     16,                0.79854,                 1.2794,                  1.253,                0.94241,                      1,                  0.995,                  0.796,                0.81245,                 1.2783,                 1.5632,              0.0012819,              0.0012819,              0.0012819
                     17,                0.75205,                  1.128,                  1.228,                0.93022,                      1,                  0.995,                 0.4975,                 1.2002,                 2.3284,                 1.6331,              0.0012544,              0.0012544,              0.0012544
                     18,                0.72359,                 1.0515,                 1.1604,                0.97227,                      1,                  0.995,                  0.796,                 0.7889,                0.80441,                 1.4656,              0.0012269,              0.0012269,              0.0012269
                     19,                0.70095,                 1.0192,                 1.1649,                0.97281,                      1,                  0.995,                 0.8955,                0.66414,                0.91882,                 1.3874,              0.0011994,              0.0011994,              0.0011994
                     20,                0.75568,                 1.0536,                 1.1852,                0.96782,                      1,                  0.995,                 0.8955,                0.76473,                 1.2405,                 1.4292,              0.0011719,              0.0011719,              0.0011719
                     21,                0.69293,                 0.9844,                 1.1707,                0.97367,                      1,                  0.995,                  0.995,                0.56715,                  1.036,                 1.4142,              0.0011444,              0.0011444,              0.0011444
                     22,                0.71987,                 1.0097,                 1.2323,                0.94231,                      1,                  0.995,                  0.796,                0.54973,                 1.9988,                  1.349,              0.0011169,              0.0011169,              0.0011169
                     23,                0.68208,                 1.0167,                 1.1725,                0.84776,                      1,                  0.995,                  0.597,                 1.3057,                 4.8079,                 2.2381,              0.0010894,              0.0010894,              0.0010894
                     24,                 0.6537,                0.89519,                 1.1535,                  0.298,                      1,                 0.4975,                0.44775,                0.87733,                 9.3697,                 1.6262,              0.0010619,              0.0010619,              0.0010619
                     25,                0.65537,                0.88065,                 1.1661,                0.29359,                      1,                0.33167,                0.23217,                0.82807,                 6.1799,                 1.5031,              0.0010344,              0.0010344,              0.0010344
                     26,                0.68061,                 0.8734,                 1.1511,                0.38439,                      1,                 0.4975,                  0.398,                0.83965,                  5.123,                 1.6762,              0.0010069,              0.0010069,              0.0010069
                     27,                0.63629,                0.82451,                  1.142,                0.95726,                      1,                  0.995,                 0.8955,                0.67398,                  1.229,                 1.4483,             0.00097936,             0.00097936,             0.00097936
                     28,                0.63801,                0.79726,                  1.119,                0.96575,                      1,                  0.995,                 0.8955,                0.74186,                0.99527,                 1.5901,             0.00095186,             0.00095186,             0.00095186
                     29,                0.62603,                0.82348,                 1.1304,                0.97139,                      1,                  0.995,                 0.8955,                0.69491,                0.62098,                 1.4535,             0.00092435,             0.00092435,             0.00092435
                     30,                0.61648,                0.78107,                 1.1216,                0.97366,                      1,                  0.995,                  0.796,                0.82352,                 0.6331,                  1.592,             0.00089685,             0.00089685,             0.00089685
                     31,                0.58179,                0.72653,                 1.0891,                0.97291,                      1,                  0.995,                  0.796,                0.76419,                0.57235,                 1.6218,             0.00086934,             0.00086934,             0.00086934
                     32,                0.59199,                0.72451,                 1.1064,                0.97233,                      1,                  0.995,                  0.796,                0.77614,                0.52112,                 1.5007,             0.00084184,             0.00084184,             0.00084184
                     33,                0.56105,                0.72665,                 1.0943,                0.97239,                      1,                  0.995,                 0.8955,                0.68167,                0.50361,                  1.309,             0.00081433,             0.00081433,             0.00081433
                     34,                0.52813,                0.69251,                 1.0724,                0.97293,                      1,                  0.995,                  0.796,                0.78238,                0.56856,                 1.4833,             0.00078682,             0.00078682,             0.00078682
                     35,                0.54454,                0.65052,                 1.0753,                0.97222,                      1,                  0.995,                 0.8955,                0.65152,                0.56877,                 1.3476,             0.00075932,             0.00075932,             0.00075932
                     36,                0.49312,                0.62541,                 1.0549,                0.96932,                      1,                  0.995,                  0.796,                0.69973,                0.54522,                 1.3625,             0.00073181,             0.00073181,             0.00073181
                     37,                0.52004,                0.61962,                 1.0701,                0.97236,                      1,                  0.995,                  0.796,                  0.692,                0.55641,                   1.35,             0.00070431,             0.00070431,             0.00070431
                     38,                0.52286,                0.63851,                 1.0419,                0.97394,                      1,                  0.995,                  0.796,                0.75782,                0.62811,                 1.4589,              0.0006768,              0.0006768,              0.0006768
                     39,                0.49561,                0.59252,                 1.0031,                0.97357,                      1,                  0.995,                  0.796,                0.69797,                0.58554,                  1.433,              0.0006493,              0.0006493,              0.0006493
                     40,                 0.5035,                0.60799,                 1.0526,                0.97319,                      1,                  0.995,                 0.8955,                 0.6449,                0.54386,                 1.4338,             0.00062179,             0.00062179,             0.00062179
                     41,                0.49293,                0.60549,                 1.0574,                0.97174,                      1,                  0.995,                 0.8955,                0.69742,                0.46654,                 1.3817,             0.00059429,             0.00059429,             0.00059429
                     42,                0.52101,                0.66523,                 1.0722,                0.97091,                      1,                  0.995,                 0.8955,                0.54124,                0.43233,                 1.2132,             0.00056678,             0.00056678,             0.00056678
                     43,                0.45168,                0.54633,                  1.007,                0.97199,                      1,                  0.995,                 0.8955,                 0.6346,                0.44543,                 1.2976,             0.00053927,             0.00053927,             0.00053927
                     44,                0.43718,                0.52255,                 1.0003,                0.97364,                      1,                  0.995,                  0.796,                0.85206,                0.50168,                 1.5728,             0.00051177,             0.00051177,             0.00051177
                     45,                 0.4611,                0.51486,                 1.0086,                0.97346,                      1,                  0.995,                  0.796,                0.82266,                0.45258,                 1.5591,             0.00048426,             0.00048426,             0.00048426
                     46,                0.50055,                0.56561,                 1.0341,                0.97255,                      1,                  0.995,                 0.8955,                0.66755,                0.42739,                 1.5022,             0.00045676,             0.00045676,             0.00045676
                     47,                0.46729,                0.51562,                 1.0199,                0.97251,                      1,                  0.995,                  0.796,                0.82433,                0.51164,                 1.5188,             0.00042925,             0.00042925,             0.00042925
                     48,                0.44044,                 0.5169,                0.99412,                0.97297,                      1,                  0.995,                  0.796,                0.90805,                0.44967,                 1.5976,             0.00040175,             0.00040175,             0.00040175
                     49,                0.40745,                0.48733,                0.98923,                0.97283,                      1,                  0.995,                  0.796,                0.72805,                0.39169,                 1.4215,             0.00037424,             0.00037424,             0.00037424
                     50,                0.41224,                 0.5163,                 1.0029,                0.97303,                      1,                  0.995,                 0.8955,                 0.6078,                0.39273,                 1.3019,             0.00034674,             0.00034674,             0.00034674
                     51,                0.33257,                0.48603,                0.94295,                0.97278,                      1,                  0.995,                 0.8955,                0.68848,                0.41406,                 1.4851,             0.00031923,             0.00031923,             0.00031923
